"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DWTyTiBbDrmml,66119,80,54.675,230726.3,327960.0,172000.0
37i9dQZF1DWZYpU3rwrcAz,2555,49,36.714285714285715,327636.02040816325,736000.0,129813.0
37i9dQZF1DX8c93KtGDPub,2407,171,31.023391812865498,210564.37426900584,966880.0,19535.0
37i9dQZF1DWXYz7MGRnPtc,10236,49,47.755102040816325,218179.20408163266,316813.0,142187.0
37i9dQZF1DX1s9knjP51Oa,569864,43,51.0,164798.27906976745,345800.0,50015.0
37i9dQZF1DWSK8os4XIQBk,353261,64,52.390625,193230.828125,238493.0,150893.0
37i9dQZF1DWViXqZVTGO3Z,33191,103,39.54368932038835,238399.05825242717,504138.0,109147.0
37i9dQZF1DX9uv41uZ7iH4,13035,50,38.86,237306.06,304280.0,160867.0
0aZvoeacjX1LtziquvzzaY,28439,65,52.292307692307695,202877.64615384614,305040.0,117147.0
6eHO8aX6lHu3e6bem8r2rq,98421,157,41.847133757961785,117054.84713375797,208740.0,40833.0
37i9dQZF1DX7P3Ec4TfanK,226450,64,75.359375,208839.171875,278893.0,153391.0
37i9dQZF1DX0SM0LYsmbMT,1078147,200,52.67,124139.91,248627.0,61481.0
37i9dQZF1DZ06evO4aKvZe,127900,37,59.13513513513514,242908.64864864864,382093.0,165267.0
37i9dQZF1DX4Mu7BvpQNsr,103000,50,39.52,272968.8,499853.0,144240.0
37i9dQZF1DXcyVNt8nnPfR,155647,50,53.62,238305.8,452333.0,137733.0
37i9dQZF1DXbqgzgKwCf4q,193480,42,49.642857142857146,206179.33333333334,252653.0,167987.0
37i9dQZF1DX3RTiX1A5GgU,136620,41,55.63414634146341,224489.8536585366,366560.0,81653.0
37i9dQZF1DXdrxKdrXE2Vk,499928,59,52.898305084745765,380386.8813559322,590437.0,220827.0
30zIqHLjwPVDyXwxduVZCB,30067,50,41.04,194026.68,304733.0,73707.0
37i9dQZF1DX2sJGkrvCPgm,17873,115,36.99130434782609,238772.9391304348,393613.0,109147.0
37i9dQZF1DXbhg05xUNqBY,96616,55,38.72727272727273,264536.94545454544,534009.0,101813.0
37i9dQZF1DX5mB2C8gBeUM,738641,60,52.71666666666667,195251.26666666666,247680.0,157422.0
5GiPRvTccToqwOzkoAcDrY,581458,73,48.64383561643836,209066.0,342857.0,155645.0
1S7NJy1sNtxAn0wvDErVm5,110552,76,22.32894736842105,233206.90789473685,656800.0,74047.0
37i9dQZF1DXbIGqYf7WDxP,1291792,50,49.92,219534.72,439000.0,125035.0
37i9dQZF1DWZw3a3jX4ph6,76498,18,53.22222222222222,279021.1111111111,364680.0,206000.0
6NH3haTkVIgFaqh7vVc6Dn,152684,154,48.62987012987013,205752.5194805195,399013.0,150027.0
37i9dQZF1DWXIcbzpLauPS,343718,128,40.3046875,226480.3203125,349432.0,122681.0
37i9dQZF1DX1fL0s4aLkTY,205458,54,41.833333333333336,277044.64814814815,414440.0,129667.0
4PFT2iFEAmJVAKyS9t0toN,215370,78,50.69230769230769,197388.88461538462,380113.0,140493.0
1ZJpJahEFst7u8njXeGFyv,197912,52,41.63461538461539,268119.32692307694,830933.0,108959.0
37i9dQZF1DX2FZ3fas1D61,25699,66,50.46969696969697,220862.5909090909,322307.0,149720.0
37i9dQZF1DXcXHKXd7LQnC,178505,42,48.95238095238095,230163.61904761905,463960.0,135133.0
37i9dQZF1DX1zM9gA91vC5,147548,50,52.2,168285.46,308560.0,121868.0
1jlZLhoY1JlKyg494AyAWa,16801,62,46.145161290322584,188274.64516129033,279740.0,92000.0
36qQ3naFyPxCbbr7QpdADN,117254,172,39.598837209302324,229781.2906976744,477293.0,58387.0
5huIma0YU4iusLcT2reVEU,57919,174,33.235632183908045,263688.0574712644,539016.0,120383.0
60NnQO3v0FmyAclzMWt72L,15705,106,49.93396226415094,175836.0,261973.0,97240.0
60bxfRo8UA9hwA5rf551eu,117587,44,15.227272727272727,213226.36363636365,289147.0,165200.0
1kFdWrjhMevnvzeGW822H3,7536,131,57.35114503816794,176336.58015267176,315707.0,69440.0
37i9dQZF1DWSF1o0wVYiRL,6964,35,32.0,226340.6857142857,406920.0,103920.0
37i9dQZF1DXawlg2SZawZf,225786,80,46.0,249237.8,404427.0,136453.0
37i9dQZF1DZ06evO1ijqlq,103272,36,29.72222222222222,213172.77777777778,422520.0,79907.0
37i9dQZF1DWSRoT7QRAibZ,328684,102,39.55882352941177,244846.3137254902,659813.0,34507.0
37i9dQZF1DX8TRWEdH1T11,46562,69,46.73913043478261,228692.91304347827,472400.0,126693.0
37i9dQZF1DXbA4Uw2yEsP9,92164,74,55.83783783783784,159107.83783783784,357707.0,54333.0
37i9dQZF1DXcfFAdW7ycEY,125602,51,42.03921568627451,230884.41176470587,345507.0,126707.0
37i9dQZF1DX5jNEiuvPyWr,213940,50,50.34,210928.54,355971.0,137378.0
37i9dQZF1DX13ZzXoot6Jc,49620,50,48.94,198352.34,240760.0,163870.0
4Rlui0eA1xj7cieXXQ41og,101460,46,44.15217391304348,184901.15217391305,506307.0,107280.0
2X5BPknxexv0e7DdDKUj0C,366716,91,43.21978021978022,196033.62637362638,258926.0,137577.0
37i9dQZF1DX9PfVG3EqILr,77979,38,44.73684210526316,287002.8157894737,592960.0,136794.0
37i9dQZF1DX8gS0OBxLGOn,44989,57,45.19298245614035,207948.68421052632,306680.0,122307.0
37i9dQZF1DZ06evO0I5DUY,20640,50,45.28,172534.36,216733.0,89307.0
37i9dQZF1DWUqIzZNMSCv3,75351,50,33.44,488754.38,862960.0,176467.0
37i9dQZF1DWSrqNVMcxGKc,179660,50,31.08,285521.72,621560.0,139227.0
37i9dQZF1DX1fUhjG13BRt,49070,50,34.94,196004.64,387813.0,122613.0
37i9dQZF1DXcZDD7cfEKhW,2816300,57,63.75438596491228,206928.42105263157,355873.0,152903.0
37i9dQZF1DX0BcQWzuB7ZO,2087805,50,61.96,220968.78,368150.0,153391.0
37i9dQZF1DXbm6HfkbMtFZ,214398,141,42.312056737588655,222997.78014184398,378733.0,66601.0
37i9dQZF1DX1MUPbVKMgJE,667189,82,30.853658536585368,323522.743902439,917920.0,169733.0
37i9dQZF1DX5Q27plkaOQ3,798567,50,42.96,234116.86,379310.0,85400.0
37i9dQZF1DXdhDukKQ88Cc,57345,45,52.666666666666664,180272.64444444445,278944.0,138391.0
37i9dQZF1DX7m49o9JzUwu,12475,64,38.234375,207199.484375,354166.0,122293.0
